日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD,,,
2025/8/8,8:19:57,297.06,195.09,132.87,128.08,83.2,61.35,24.67,,,
2025/8/8,8:19:59,296.52,195.3,133.25,128.12,83.67,61.49,24.67,,,
2025/8/8,8:20:01,295.69,195.47,133.53,128.08,83.9,61.67,24.68,,,
2025/8/8,8:20:03,295.2,195.59,133.9,128.03,84.23,61.86,24.68,,,
2025/8/8,8:20:05,294.91,195.75,134.3,128.03,84.59,61.89,24.68,,,
2025/8/8,8:20:07,294.43,195.94,134.65,128.02,84.9,62,24.68,,,
2025/8/8,8:20:09,293.95,196.11,134.9,128,85.34,62.21,24.69,,,
2025/8/8,8:20:11,293.61,196.24,135.25,127.93,85.84,62.29,24.69,,,
2025/8/8,8:20:13,293.1,196.41,135.56,127.9,86.18,62.42,24.69,,,
2025/8/8,8:20:15,292.66,196.53,135.8,127.85,86.64,62.6,24.69,,,
2025/8/8,8:20:17,292.35,196.69,136.09,127.89,87.06,62.67,24.69,,,
2025/8/8,8:20:19,291.94,196.84,136.4,127.87,87.29,62.75,24.69,,,
2025/8/8,8:20:21,291.49,197.02,136.59,127.9,87.71,62.84,24.69,,,
2025/8/8,8:20:23,291.19,197.13,136.88,127.93,88.2,62.96,24.69,,,
2025/8/8,8:20:25,290.77,197.33,137.18,127.96,88.53,63.03,24.69,,,
2025/8/8,8:20:27,290.1,197.46,137.47,128.02,88.95,63.39,24.69,,,
2025/8/8,8:20:29,289.67,197.58,137.68,128.06,89.23,63.64,24.7,,,
2025/8/8,8:20:31,289.37,197.72,137.93,128.09,89.57,63.71,24.7,,,
2025/8/8,8:20:33,288.91,197.84,138.18,128.13,89.87,63.82,24.7,,,
2025/8/8,8:20:35,288.37,197.94,138.34,128.19,90.25,63.89,24.7,,,
2025/8/8,8:20:38,288.1,198.05,138.56,128.27,90.68,63.97,24.7,,,
2025/8/8,8:20:40,287.72,198.12,138.75,128.28,90.93,64.07,24.7,,,
2025/8/8,8:20:42,287.17,198.18,138.87,128.25,91.18,64.15,24.7,,,
2025/8/8,8:20:44,286.91,198.25,139.09,128.18,91.54,64.23,24.71,,,
2025/8/8,8:20:46,286.52,198.34,139.28,128.16,91.76,64.31,24.71,,,
2025/8/8,8:20:48,286.13,198.46,139.4,128.15,92.09,64.37,24.71,,,
2025/8/8,8:20:50,285.76,198.53,139.61,128.12,92.34,64.37,24.71,,,
2025/8/8,8:20:52,285.37,198.63,139.8,128.09,92.59,64.45,24.72,,,
2025/8/8,8:20:54,284.93,198.78,139.93,128.12,92.9,64.6,24.72,,,
2025/8/8,8:20:56,284.64,198.84,140.12,128.05,92.9,64.7,24.72,,,
2025/8/8,8:20:58,284.25,198.91,140.28,127.95,92.93,64.87,24.72,,,
2025/8/8,8:21:00,283.83,199,140.43,127.9,93.1,65.01,24.72,,,
2025/8/8,8:21:02,283.55,199.03,140.59,127.85,93.4,65.29,24.72,,,
2025/8/8,8:21:04,283.14,199.15,140.78,127.82,93.62,65.51,24.73,,,
2025/8/8,8:21:06,282.68,199.18,140.9,127.7,93.73,65.76,24.73,,,
2025/8/8,8:21:08,282.38,199.18,141.06,127.64,93.84,65.98,24.73,,,
2025/8/8,8:21:10,281.93,199.21,141.21,127.59,94.04,66.12,24.73,,,
2025/8/8,8:21:12,281.51,199.24,141.31,127.51,93.98,66.17,24.74,,,
2025/8/8,8:21:14,281.11,199.22,141.44,127.29,94.06,66.45,24.74,,,
2025/8/8,8:21:16,280.77,199.21,141.59,127.12,94.04,66.59,24.74,,,
2025/8/8,8:21:18,280.25,199.25,141.71,127.01,94.23,66.7,24.74,,,
2025/8/8,8:21:20,279.79,199.27,141.81,126.84,94.23,66.81,24.75,,,
2025/8/8,8:21:22,279.43,199.25,141.91,126.65,94.46,66.85,24.75,,,
2025/8/8,8:21:24,279.82,199.27,142.03,126.53,94.65,67.07,24.75,,,
2025/8/8,8:21:26,279.41,199.28,142.09,126.37,94.93,67.1,24.75,,,
2025/8/8,8:21:28,279.08,199.28,142.13,126.2,94.85,67.12,24.75,,,
2025/8/8,8:21:30,278.52,199.24,142.18,126.14,95.06,67.21,24.75,,,
2025/8/8,8:21:32,278.17,199.18,142.21,126.07,95.4,67.34,24.75,,,
2025/8/8,8:21:34,277.91,199.16,142.21,126.04,95.6,67.37,24.76,,,
2025/8/8,8:21:36,277.51,199.12,142.24,126.01,95.73,67.34,24.76,,,
2025/8/8,8:21:38,277.12,199.06,142.21,125.93,95.87,67.29,24.76,,,
2025/8/8,8:21:40,276.86,199.02,142.25,125.84,95.84,67.35,24.76,,,
2025/8/8,8:21:42,276.54,198.9,142.28,125.7,95.84,67.37,24.77,,,
2025/8/8,8:21:44,276.12,198.9,142.31,125.64,95.96,67.23,24.77,,,
2025/8/8,8:21:46,275.72,198.91,142.36,125.53,96.17,67.26,24.77,,,
2025/8/8,8:21:48,275.06,198.88,142.43,125.48,96.35,67.34,24.77,,,
2025/8/8,8:21:50,274.36,198.87,142.47,125.43,96.4,67.4,24.77,,,
2025/8/8,8:21:52,273.75,198.87,142.5,125.37,96.64,67.34,24.77,,,
2025/8/8,8:21:54,273.44,198.88,142.56,125.39,97.01,67.39,24.78,,,
2025/8/8,8:21:56,273,198.88,142.53,125.37,97.21,67.54,24.78,,,
2025/8/8,8:21:58,272.62,198.88,142.52,125.34,97.51,67.42,24.78,,,
2025/8/8,8:22:00,272.35,198.87,142.49,125.29,97.7,67.37,24.78,,,
2025/8/8,8:22:02,271.94,198.78,142.44,125.26,97.84,67.4,24.78,,,
2025/8/8,8:22:04,271.56,198.77,142.41,125.25,98.04,67.59,24.79,,,
2025/8/8,8:22:06,271.31,198.72,142.36,125.26,98.06,67.67,24.79,,,
2025/8/8,8:22:08,270.97,198.65,142.3,125.23,98.12,67.71,24.79,,,
2025/8/8,8:22:10,270.61,198.59,142.27,125.18,98.2,67.73,24.79,,,
2025/8/8,8:22:12,270.37,198.53,142.18,125.15,98.32,67.81,24.79,,,
2025/8/8,8:22:14,270.02,198.47,142.16,125.09,98.18,67.95,24.8,,,
2025/8/8,8:22:16,269.67,198.37,142.11,125.04,98.28,68.15,24.8,,,
2025/8/8,8:22:18,269.42,198.34,142.03,124.98,98.23,68.31,24.8,,,
2025/8/8,8:22:20,269.11,198.25,141.96,124.81,98.31,68.23,24.8,,,
2025/8/8,8:22:22,268.75,198.15,141.91,124.71,98.43,68.2,24.81,,,
2025/8/8,8:22:24,268.51,198.12,141.86,124.54,98.45,68.03,24.81,,,
2025/8/8,8:22:26,268.1,198.03,141.78,124.32,98.54,68,24.81,,,
2025/8/8,8:22:28,267.66,197.94,141.72,124.2,98.71,67.95,24.81,,,
2025/8/8,8:22:30,267.27,197.91,141.68,124.21,99.03,68,24.81,,,
2025/8/8,8:22:32,267.04,197.87,141.65,124.21,99.32,67.93,24.82,,,
2025/8/8,8:22:34,266.68,197.84,141.58,124.21,99.54,67.96,24.82,,,
2025/8/8,8:22:36,266.31,197.81,141.53,124.23,99.79,68.01,24.82,,,
2025/8/8,8:22:38,266.02,197.78,141.5,124.31,99.96,68.07,24.82,,,
2025/8/8,8:22:40,265.66,197.71,141.43,124.32,100.12,68.15,24.82,,,
2025/8/8,8:22:42,265.27,197.68,141.4,124.31,100.26,68.2,24.82,,,
2025/8/8,8:22:44,265.01,197.63,141.34,124.25,100.32,68.18,24.83,,,
2025/8/8,8:22:46,264.69,197.55,141.28,124.14,100.21,68.15,24.83,,,
2025/8/8,8:22:48,264.37,197.43,141.24,124.06,100.2,68.17,24.83,,,
2025/8/8,8:22:50,264.14,197.36,141.16,123.93,100.1,68.25,24.83,,,
2025/8/8,8:22:52,263.82,197.27,141.09,123.85,100.2,68.29,24.83,,,
2025/8/8,8:22:54,263.47,197.18,141.05,123.75,100.26,68.26,24.83,,,
2025/8/8,8:22:56,263.2,197.13,140.97,123.68,100.35,68.26,24.84,,,
2025/8/8,8:22:58,262.82,197.06,140.87,123.59,100.39,68.21,24.84,,,
2025/8/8,8:23:00,262.45,197.03,140.84,123.51,100.34,68.07,24.84,,,
2025/8/8,8:23:02,262.12,196.96,140.75,123.31,100.4,68.03,24.84,,,
2025/8/8,8:23:04,261.92,196.88,140.65,123.21,100.53,68.01,24.84,,,
2025/8/8,8:23:06,261.54,196.8,140.59,123.17,100.76,67.93,24.84,,,
2025/8/8,8:23:08,261.25,196.78,140.56,123.09,101.09,67.9,24.85,,,
2025/8/8,8:23:10,261.01,196.71,140.53,123.01,101.26,67.76,24.85,,,
2025/8/8,8:23:12,260.67,196.62,140.49,122.98,101.31,67.75,24.85,,,
2025/8/8,8:23:14,260.3,196.56,140.43,122.76,100.87,67.79,24.85,,,
2025/8/8,8:23:16,260.01,196.43,140.37,122.64,100.96,67.82,24.85,,,
2025/8/8,8:23:18,259.68,196.37,140.34,122.48,100.96,67.87,24.85,,,
2025/8/8,8:23:20,259.33,196.25,140.3,122.37,100.98,67.96,24.85,,,
2025/8/8,8:23:22,259.12,196.18,140.22,122.29,101.29,67.95,24.85,,,
2025/8/8,8:23:24,258.81,196.12,140.18,122.18,101.48,67.93,24.85,,,
2025/8/8,8:23:26,258.5,196.08,140.13,122.1,101.4,67.85,24.85,,,
2025/8/8,8:23:28,258.25,196.06,140.08,122.01,101.34,67.84,24.86,,,
2025/8/8,8:23:30,257.87,195.96,140.03,121.93,101.29,67.81,24.86,,,
2025/8/8,8:23:32,257.52,195.84,139.99,121.84,101.29,67.76,24.86,,,
2025/8/8,8:23:34,257.29,195.75,139.94,121.78,101.4,67.85,24.86,,,
2025/8/8,8:23:36,256.95,195.65,139.9,121.75,101.42,67.92,24.86,,,
2025/8/8,8:23:38,256.62,195.56,139.87,121.68,101.23,67.95,24.86,,,
2025/8/8,8:23:40,256.25,195.5,139.86,121.65,101.29,68.06,24.86,,,
2025/8/8,8:23:42,256.05,195.44,139.81,121.6,101.53,68,24.87,,,
2025/8/8,8:23:44,255.66,195.38,139.81,121.6,101.59,68.04,24.87,,,
2025/8/8,8:23:46,255.3,195.33,139.77,121.56,101.45,67.98,24.87,,,
2025/8/8,8:23:48,255.06,195.18,139.75,121.45,101.28,67.95,24.87,,,
2025/8/8,8:23:50,254.75,195.03,139.69,121.32,101.4,67.98,24.88,,,
2025/8/8,8:23:52,254.46,194.96,139.68,121.17,101.29,68.12,24.88,,,
2025/8/8,8:23:54,254.27,194.84,139.65,121.03,101.31,68.17,24.88,,,
2025/8/8,8:23:56,253.93,194.71,139.59,120.84,101.26,68.28,24.88,,,
2025/8/8,8:23:58,253.56,194.58,139.56,120.73,101.39,68.28,24.88,,,
2025/8/8,8:24:00,253.3,194.53,139.52,120.56,101.28,68.1,24.88,,,
2025/8/8,8:24:02,252.93,194.43,139.47,120.31,101.03,67.93,24.88,,,
2025/8/8,8:24:04,252.62,194.34,139.46,120.2,101.17,67.84,24.88,,,
2025/8/8,8:24:06,252.43,194.33,139.43,120.12,101.12,67.87,24.89,,,
2025/8/8,8:24:08,252.03,194.28,139.43,119.96,100.93,68.01,24.89,,,
2025/8/8,8:24:10,251.68,194.24,139.38,119.81,100.71,68.18,24.88,,,
2025/8/8,8:24:12,251.33,194.22,139.36,119.59,100.65,68.15,24.88,,,
2025/8/8,8:24:14,251.11,194.24,139.36,119.37,100.76,68.17,24.89,,,
2025/8/8,8:24:16,250.74,194.25,139.36,119.25,100.89,68.12,24.89,,,
2025/8/8,8:24:18,250.4,194.33,139.34,119.18,101.15,68.06,24.89,,,
2025/8/8,8:24:20,250.19,194.47,139.3,119.15,101.32,68.1,24.89,,,
2025/8/8,8:24:22,249.91,194.59,139.28,119.12,101.45,68.07,24.89,,,
2025/8/8,8:24:24,249.65,194.63,139.25,119.15,101.64,68,24.89,,,
2025/8/8,8:24:26,249.43,194.71,139.22,119.15,101.76,67.95,24.89,,,
2025/8/8,8:24:28,249.18,194.78,139.19,119.09,101.73,67.81,24.89,,,
2025/8/8,8:24:30,248.91,194.78,139.18,119.03,101.68,67.81,24.89,,,
2025/8/8,8:24:32,248.71,194.81,139.15,118.95,101.78,67.87,24.89,,,
2025/8/8,8:24:34,248.43,194.84,139.12,118.9,101.81,67.79,24.89,,,
2025/8/8,8:24:36,248.12,194.87,139.11,118.79,101.68,67.71,24.89,,,
2025/8/8,8:24:38,247.91,194.87,139.12,118.71,101.7,67.84,24.89,,,
2025/8/8,8:24:40,247.66,194.84,139.09,118.65,101.78,67.92,24.89,,,
2025/8/8,8:24:42,247.34,194.81,139.09,118.5,101.71,68,24.9,,,
2025/8/8,8:24:44,247.15,194.77,139.09,118.37,101.51,67.98,24.9,,,
2025/8/8,8:24:46,246.87,194.69,139.08,118.2,101.42,68,24.89,,,
2025/8/8,8:24:48,246.49,194.66,139.08,118.01,101.62,68.01,24.89,,,
2025/8/8,8:24:50,246.27,194.65,139.08,117.84,101.62,67.82,24.89,,,
2025/8/8,8:24:52,246,194.62,139.08,117.65,101.56,67.76,24.89,,,
2025/8/8,8:24:54,245.68,194.59,139.08,117.54,101.59,67.81,24.89,,,
2025/8/8,8:24:56,245.47,194.56,139.09,117.39,101.48,67.98,24.89,,,
2025/8/8,8:24:58,245.18,194.5,139.08,117.25,101.45,68.12,24.9,,,
2025/8/8,8:25:00,244.87,194.4,139.09,117.09,101.28,68.2,24.9,,,
2025/8/8,8:25:02,244.65,194.34,139.09,116.96,101.06,68.2,24.9,,,
2025/8/8,8:25:04,244.28,194.22,139.08,116.87,100.93,68.26,24.9,,,
2025/8/8,8:25:06,243.93,194.19,139.11,116.84,100.9,68.37,24.9,,,
2025/8/8,8:25:08,243.61,194.22,139.11,116.78,100.95,68.34,24.91,,,
2025/8/8,8:25:10,243.43,194.24,139.11,116.68,101.17,68.31,24.91,,,
2025/8/8,8:25:12,243.16,194.21,139.11,116.64,101.23,68.21,24.91,,,
2025/8/8,8:25:14,242.86,194.19,139.09,116.59,101.32,68.18,24.91,,,
2025/8/8,8:25:16,242.66,194.18,139.09,116.51,101.25,68.21,24.91,,,
2025/8/8,8:25:18,242.41,194.15,139.11,116.53,101.31,68.15,24.91,,,
2025/8/8,8:25:20,242.15,194.15,139.12,116.54,101.35,68.04,24.91,,,
2025/8/8,8:25:22,241.94,194.15,139.12,116.54,101.43,67.93,24.91,,,
2025/8/8,8:25:24,241.58,194.21,139.11,116.5,101.42,67.79,24.9,,,
2025/8/8,8:25:26,241.28,194.27,139.12,116.45,101.59,67.95,24.9,,,
2025/8/8,8:25:28,241.12,194.3,139.13,116.37,101.43,68.14,24.9,,,
2025/8/8,8:25:30,240.9,194.31,139.16,116.32,101.31,68.26,24.9,,,
2025/8/8,8:25:32,240.65,194.33,139.18,116.25,101.18,68.34,24.9,,,
2025/8/8,8:25:34,240.49,194.33,139.25,116.09,101.26,68.45,24.9,,,
2025/8/8,8:25:36,240.15,194.37,139.28,115.96,101.31,68.51,24.89,,,
2025/8/8,8:25:38,239.81,194.43,139.33,115.93,101.31,68.54,24.89,,,
2025/8/8,8:25:40,239.65,194.49,139.37,115.81,101.17,68.43,24.89,,,
2025/8/8,8:25:42,239.37,194.5,139.41,115.7,101.14,68.37,24.89,,,
2025/8/8,8:25:44,239.06,194.53,139.47,115.6,101.23,68.4,24.89,,,
2025/8/8,8:25:46,238.78,194.56,139.52,115.43,101.06,68.51,24.89,,,
2025/8/8,8:25:48,238.58,194.62,139.58,115.42,100.96,68.59,24.89,,,
2025/8/8,8:25:50,238.28,194.68,139.65,115.4,100.98,68.59,24.89,,,
2025/8/8,8:25:52,238.03,194.72,139.68,115.37,101.09,68.68,24.89,,,
2025/8/8,8:25:54,237.84,194.77,139.74,115.31,101.18,68.75,24.89,,,
2025/8/8,8:25:56,237.58,194.8,139.83,115.29,101.29,68.79,24.89,,,
2025/8/8,8:25:58,237.31,194.83,139.87,115.31,101.48,68.95,24.9,,,
2025/8/8,8:26:00,237.11,194.87,139.93,115.29,101.51,69.01,24.9,,,
2025/8/8,8:26:02,236.9,194.93,139.99,115.2,101.51,68.9,24.89,,,
2025/8/8,8:26:04,236.62,195,140.03,115.2,101.53,68.65,24.9,,,
2025/8/8,8:26:06,236.43,195,140.06,115.12,101.7,68.53,24.89,,,
2025/8/8,8:26:08,236.18,195.03,140.12,115.04,101.73,68.54,24.89,,,
2025/8/8,8:26:10,235.96,195.03,140.15,115.03,101.81,68.5,24.89,,,
2025/8/8,8:26:12,235.83,195.03,140.18,115.01,101.73,68.43,24.9,,,
2025/8/8,8:26:14,235.59,195.03,140.21,115.06,101.85,68.42,24.89,,,
2025/8/8,8:26:16,235.37,195.06,140.24,115.09,102.01,68.39,24.9,,,
2025/8/8,8:26:18,235.18,195.11,140.25,115.15,102.06,68.28,24.89,,,
2025/8/8,8:26:20,234.53,195.11,140.31,115.26,102.03,68.26,24.89,,,
2025/8/8,8:26:22,234.24,195.09,140.31,115.31,102,68.31,24.89,,,
2025/8/8,8:26:24,234.06,195.11,140.37,115.37,102.12,68.34,24.9,,,
2025/8/8,8:26:26,233.77,195.09,140.38,115.25,102.09,68.34,24.9,,,
